0,1,2
ALKA,ALKİM KAĞIT SANAYİ VE TİCARET A.Ş.,GÜNEY BAĞIMSIZ DENETİM VE SERBEST MUHASEBECİ MALİ MÜŞAVİRLİK A.Ş.
"ALNUS, ANC",ALNUS YATIRIM MENKUL DEĞERLER A.Ş.,ANY PARTNERS BAĞIMSIZ DENETİM A.Ş.
"ALNTF, ANF",ALTERNATİFBANK A.Ş.,KPMG BAĞIMSIZ DENETİM VE SERBEST MUHASEBECİ MALİ MÜŞAVİRLİK A.Ş.
AYCES,ALTIN YUNUS ÇEŞME TURİSTİK TESİSLER A.Ş.,EREN BAĞIMSIZ DENETİM A.Ş.
ALMAD,ALTINYAĞ MADENCİLİK VE ENERJİ YATIRIMLARI SANAYİ VE TİCARET A.Ş.,RSM TURKEY ARKAN ERGİN ULUSLARARASI BAĞIMSIZ DENETİM A.Ş.
ANSGR,ANADOLU ANONİM TÜRK SİGORTA ŞİRKETİ,GÜNEY BAĞIMSIZ DENETİM VE SERBEST MUHASEBECİ MALİ MÜŞAVİRLİK A.Ş.
AEFES,ANADOLU EFES BİRACILIK VE MALT SANAYİİ A.Ş.,PwC BAĞIMSIZ DENETİM VE SERBEST MUHASEBECİ MALİ MÜŞAVİRLİK A.Ş
ANHYT,ANADOLU HAYAT EMEKLİLİK A.Ş.,GÜNEY BAĞIMSIZ DENETİM VE SERBEST MUHASEBECİ MALİ MÜŞAVİRLİK A.Ş.
ASUZU,ANADOLU ISUZU OTOMOTİV SANAYİ VE TİCARET A.Ş.,PwC BAĞIMSIZ DENETİM VE SERBEST MUHASEBECİ MALİ MÜŞAVİRLİK A.Ş
ANGEN,ANATOLİA TANI VE BİYOTEKNOLOJİ ÜRÜNLERİ ARAŞTIRMA GELİŞTİRME SANAYİ VE TİCARET A.Ş.,PKF ADAY BAĞIMSIZ DENETİM A.Ş.
ANELE,ANEL ELEKTRİK PROJE TAAHHÜT VE TİCARET A.Ş.,PwC BAĞIMSIZ DENETİM VE SERBEST MUHASEBECİ MALİ MÜŞAVİRLİK A.Ş
ARCLK,ARÇELİK A.Ş.,PwC BAĞIMSIZ DENETİM VE SERBEST MUHASEBECİ MALİ MÜŞAVİRLİK A.Ş
ARDYZ,ARD GRUP BİLİŞİM TEKNOLOJİLERİ A.Ş.,DENEYİM BAĞIMSIZ DENETİM VE DANIŞMANLIK A.Ş.
ARENA,ARENA BİLGİSAYAR SANAYİ VE TİCARET A.Ş.,PwC BAĞIMSIZ DENETİM VE SERBEST MUHASEBECİ MALİ MÜŞAVİRLİK A.Ş
ARNFK,ARENA FİNANS FAKTORİNG A.Ş.,ANIL YEMİNLİ MALİ MÜŞAVİRLİK VE BAĞIMSIZ DENETİM A.Ş.
ARSAN,ARSAN TEKSTİL TİCARET VE SANAYİ A.Ş.,GÜNCEL BAĞIMSIZ DENETİM DANIŞMANLIK A.Ş.
ARZUM,ARZUM ELEKTRİKLİ EV ALETLERİ SANAYİ VE TİCARET A.Ş.,KPMG BAĞIMSIZ DENETİM VE SERBEST MUHASEBECİ MALİ MÜŞAVİRLİK A.Ş.
ASGYO,ASCE GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,EREN BAĞIMSIZ DENETİM A.Ş.
ASELS,ASELSAN ELEKTRONİK SANAYİ VE TİCARET A.Ş.,YEDİTEPE BAĞIMSIZ DENETİM VE YEMİNLİ MALİ MÜŞAVİRLİK A.Ş.
ASTOR,ASTOR ENERJİ A.Ş.,EREN BAĞIMSIZ DENETİM A.Ş.
ATAGY,ATA GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,GÜRELİ YEMİNLİ MALİ MÜŞAVİRLİK VE BAĞIMSIZ DENETİM HİZMETLERİ A.Ş.
"ATA, ATAYM",ATA YATIRIM MENKUL KIYMETLER A.Ş.,GÜRELİ YEMİNLİ MALİ MÜŞAVİRLİK VE BAĞIMSIZ DENETİM HİZMETLERİ A.Ş.
ATAKP,ATAKEY PATATES GIDA SANAYİ VE TİCARET A.Ş.,GÜNEY BAĞIMSIZ DENETİM VE SERBEST MUHASEBECİ MALİ MÜŞAVİRLİK A.Ş.
AGYO,ATAKULE GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,EREN BAĞIMSIZ DENETİM A.Ş.
ATLFA,ATILIM FAKTORİNG A.Ş.,HLB SAYGIN BAĞIMSIZ DENETİM A.Ş.
ATSYH,ATLANTİS YATIRIM HOLDİNG A.Ş.,TTK BAĞIMSIZ DENETİM VE YEMİNLİ MALİ MÜŞAVİRLİK A.Ş.
ATLAS,ATLAS MENKUL KIYMETLER YATIRIM ORTAKLIĞI A.Ş.,YEDİTEPE BAĞIMSIZ DENETİM VE YEMİNLİ MALİ MÜŞAVİRLİK A.Ş.
ATATP,ATP YAZILIM VE TEKNOLOJİ A.Ş.,GÜRELİ YEMİNLİ MALİ MÜŞAVİRLİK VE BAĞIMSIZ DENETİM HİZMETLERİ A.Ş.
AVGYO,AVRASYA GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,YEDİTEPE BAĞIMSIZ DENETİM VE YEMİNLİ MALİ MÜŞAVİRLİK A.Ş.
AVTUR,AVRASYA PETROL VE TURİSTİK TESİSLER YATIRIMLAR A.Ş.,YEDİTEPE BAĞIMSIZ DENETİM VE YEMİNLİ MALİ MÜŞAVİRLİK A.Ş.
AVHOL,AVRUPA YATIRIM HOLDİNG A.Ş.,ANIL YEMİNLİ MALİ MÜŞAVİRLİK VE BAĞIMSIZ DENETİM A.Ş.
AYDEM,AYDEM YENİLENEBİLİR ENERJİ A.Ş.,GÜNEY BAĞIMSIZ DENETİM VE SERBEST MUHASEBECİ MALİ MÜŞAVİRLİK A.Ş.
AYEN,AYEN ENERJİ A.Ş.,GÜNEY BAĞIMSIZ DENETİM VE SERBEST MUHASEBECİ MALİ MÜŞAVİRLİK A.Ş.
AYES,AYES ÇELİK HASIR VE ÇİT SANAYİ A.Ş.,VİZYON GRUP BAĞIMSIZ DENETİM.A.Ş.
AYGAZ,AYGAZ A.Ş.,PwC BAĞIMSIZ DENETİM VE SERBEST MUHASEBECİ MALİ MÜŞAVİRLİK A.Ş
AZTEK,AZTEK TEKNOLOJİ ÜRÜNLERİ TİCARET A.Ş.,KPMG BAĞIMSIZ DENETİM VE SERBEST MUHASEBECİ MALİ MÜŞAVİRLİK A.Ş.
BAGFS,BAGFAŞ BANDIRMA GÜBRE FABRİKALARI A.Ş.,HSY DANIŞMANLIK VE BAĞIMSIZ DENETİM A.Ş.
BAKAB,BAK AMBALAJ SANAYİ VE TİCARET A.Ş.,PwC BAĞIMSIZ DENETİM VE SERBEST MUHASEBECİ MALİ MÜŞAVİRLİK A.Ş
BALAT,BALATACILAR BALATACILIK SANAYİ VE TİCARET A.Ş.,MEGA GLOBAL ULUSLARARASI BAĞIMSIZ DENETİM A.Ş.
BNTAS,BANTAŞ BANDIRMA AMBALAJ SANAYİ TİCARET A.Ş.,NOTE OFFİCE ULUSLARARASI BAĞIMSIZ DENETİM DANIŞMANLIK VE YEMİNLİ MALİ MÜŞAVİRLİK A.Ş.
BANVT,BANVİT BANDIRMA VİTAMİNLİ YEM SANAYİİ A.Ş.,EREN BAĞIMSIZ DENETİM A.Ş.
BARMA,BAREM AMBALAJ SANAYİ VE TİCARET A.Ş.,PKF ADAY BAĞIMSIZ DENETİM A.Ş.
BASGZ,BAŞKENT DOĞALGAZ DAĞITIM GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,PwC BAĞIMSIZ DENETİM VE SERBEST MUHASEBECİ MALİ MÜŞAVİRLİK A.Ş
BASCM,BAŞTAŞ BAŞKENT ÇİMENTO SANAYİ VE TİCARET A.Ş.,KPMG BAĞIMSIZ DENETİM VE SERBEST MUHASEBECİ MALİ MÜŞAVİRLİK A.Ş.
BTCIM,BATIÇİM BATI ANADOLU ÇİMENTO SANAYİİ A.Ş.,GÜNEY BAĞIMSIZ DENETİM VE SERBEST MUHASEBECİ MALİ MÜŞAVİRLİK A.Ş.
BSOKE,BATISÖKE SÖKE ÇİMENTO SANAYİİ T.A.Ş.,GÜNEY BAĞIMSIZ DENETİM VE SERBEST MUHASEBECİ MALİ MÜŞAVİRLİK A.Ş.
BYDNR,BAYDÖNER RESTORANLARI A.Ş.,GÜRELİ YEMİNLİ MALİ MÜŞAVİRLİK VE BAĞIMSIZ DENETİM HİZMETLERİ A.Ş.
BAYRK,BAYRAK EBT TABAN SANAYİ VE TİCARET A.Ş.,DENEYİM BAĞIMSIZ DENETİM VE DANIŞMANLIK A.Ş.
BERA,BERA HOLDİNG A.Ş.,İRFAN BAĞIMSIZ DENETİM VE YEMİNLİ MALİ MÜŞAVİRLİK A.Ş.
BRKT,BEREKET VARLIK KİRALAMA A.Ş.,PwC BAĞIMSIZ DENETİM VE SERBEST MUHASEBECİ MALİ MÜŞAVİRLİK A.Ş
BRKSN,BERKOSAN YALITIM VE TECRİT MADDELERİ ÜRETİM VE TİCARET A.Ş.,RSM TURKEY ARKAN ERGİN ULUSLARARASI BAĞIMSIZ DENETİM A.Ş.
BJKAS,BEŞİKTAŞ FUTBOL YATIRIMLARI SANAYİ VE TİCARET A.Ş.,RSM TURKEY ARKAN ERGİN ULUSLARARASI BAĞIMSIZ DENETİM A.Ş.
BEYAZ,BEYAZ FİLO OTO KİRALAMA A.Ş.,KARAR BAĞIMSIZ DENETİM VE DANIŞMANLIK A.Ş.
BIENY,BİEN YAPI ÜRÜNLERİ SANAYİ TURİZM VE TİCARET A.Ş.,NEVADOS BAĞIMSIZ DENETİM A.Ş.
BLCYT,BİLİCİ YATIRIM SANAYİ VE TİCARET A.Ş.,DENEYİM BAĞIMSIZ DENETİM VE DANIŞMANLIK A.Ş.
BLKOM,BİLKOM BİLİŞİM HİZMETLERİ A.Ş.,PwC BAĞIMSIZ DENETİM VE SERBEST MUHASEBECİ MALİ MÜŞAVİRLİK A.Ş
BIMAS,BİM BİRLEŞİK MAĞAZALAR A.Ş.,GÜNEY BAĞIMSIZ DENETİM VE SERBEST MUHASEBECİ MALİ MÜŞAVİRLİK A.Ş.
BIOEN,BİOTREND ÇEVRE VE ENERJİ YATIRIMLARI A.Ş.,RSM TURKEY ARKAN ERGİN ULUSLARARASI BAĞIMSIZ DENETİM A.Ş.
BRKVY,BİRİKİM VARLIK YÖNETİM A.Ş.,ARTI DEĞER ULUSLARARASI BAĞIMSIZ DENETİM VE YMM A.Ş.
BRKO,BİRKO BİRLEŞİK KOYUNLULULAR MENSUCAT TİCARET VE SANAYİ A.Ş.,AAC BAĞIMSIZ DENETİM VE DANIŞMANLIK A.Ş.
