0,1,2
BRLSM,BİRLEŞİM MÜHENDİSLİK ISITMA SOĞUTMA HAVALANDIRMA SANAYİ VE TİCARET A.Ş.,YEDİTEPE BAĞIMSIZ DENETİM VE YEMİNLİ MALİ MÜŞAVİRLİK A.Ş.
BRMEN,BİRLİK MENSUCAT TİCARET VE SANAYİ İŞLETMESİ A.Ş.,ARILAR BAĞIMSIZ DENETİM VE YEMİNLİ MALİ MÜŞAVİRLİK A.Ş.
BIZIM,BİZİM TOPTAN SATIŞ MAĞAZALARI A.Ş.,PwC BAĞIMSIZ DENETİM VE SERBEST MUHASEBECİ MALİ MÜŞAVİRLİK A.Ş
BMSTL,BMS BİRLEŞİK METAL SANAYİ VE TİCARET A.Ş.,ATA ULUSLARARASI BAĞIMSIZ DENETİM VE SMMM A.Ş.
BMSCH,BMS ÇELİK HASIR SANAYİ VE TİCARET A.Ş.,ATA ULUSLARARASI BAĞIMSIZ DENETİM VE SMMM A.Ş.
BNPPI,BNP PARIBAS ISSUANCE B.V.,
BNPFK,BNP PARİBAS FİNANSAL KİRALAMA A.Ş.,PwC BAĞIMSIZ DENETİM VE SERBEST MUHASEBECİ MALİ MÜŞAVİRLİK A.Ş
BOBET,BOĞAZİÇİ BETON SANAYİ VE TİCARET A.Ş.,REANDA AREN BAĞIMSIZ DENETİM VE SMMM A.Ş.
BRSAN,BORUSAN MANNESMANN BORU SANAYİ VE TİCARET A.Ş.,GÜNEY BAĞIMSIZ DENETİM VE SERBEST MUHASEBECİ MALİ MÜŞAVİRLİK A.Ş.
BRYAT,BORUSAN YATIRIM VE PAZARLAMA A.Ş.,GÜNEY BAĞIMSIZ DENETİM VE SERBEST MUHASEBECİ MALİ MÜŞAVİRLİK A.Ş.
BFREN,BOSCH FREN SİSTEMLERİ SANAYİ VE TİCARET A.Ş.,GÜNEY BAĞIMSIZ DENETİM VE SERBEST MUHASEBECİ MALİ MÜŞAVİRLİK A.Ş.
BOSSA,BOSSA TİCARET VE SANAYİ İŞLETMELERİ T.A.Ş.,PwC BAĞIMSIZ DENETİM VE SERBEST MUHASEBECİ MALİ MÜŞAVİRLİK A.Ş
BRISA,BRİSA BRIDGESTONE SABANCI LASTİK SANAYİ VE TİCARET A.Ş.,KPMG BAĞIMSIZ DENETİM VE SERBEST MUHASEBECİ MALİ MÜŞAVİRLİK A.Ş.
BURCE,BURÇELİK BURSA ÇELİK DÖKÜM SANAYİİ A.Ş.,KAVRAM BAĞIMSIZ DENETİM VE DANIŞMANLIK A.Ş.
BURVA,BURÇELİK VANA SANAYİ VE TİCARET A.Ş.,KAVRAM BAĞIMSIZ DENETİM VE DANIŞMANLIK A.Ş.
BUCIM,BURSA ÇİMENTO FABRİKASI A.Ş.,SUN BAĞIMSIZ DENETİM VE YEMİNLİ MALİ MÜŞAVİRLİK A.Ş.
BVSAN,BÜLBÜLOĞLU VİNÇ SANAYİ VE TİCARET A.Ş.,DENEYİM BAĞIMSIZ DENETİM VE DANIŞMANLIK A.Ş.
BIGCH,BÜYÜK ŞEFLER GIDA TURİZM TEKSTİL DANIŞMANLIK ORGANİZASYON EĞİTİM SANAYİ VE TİCARET A.Ş.,PwC BAĞIMSIZ DENETİM VE SERBEST MUHASEBECİ MALİ MÜŞAVİRLİK A.Ş
CRFSA,CARREFOURSA CARREFOUR SABANCI TİCARET MERKEZİ A.Ş.,KPMG BAĞIMSIZ DENETİM VE SERBEST MUHASEBECİ MALİ MÜŞAVİRLİK A.Ş.
CASA,CASA EMTİA PETROL KİMYEVİ VE TÜREVLERİ SANAYİ TİCARET A.Ş.,SER-BERKER BAĞIMSIZ DENETİM A.Ş.
CEOEM,CEO EVENT MEDYA A.Ş.,VİZYON GRUP BAĞIMSIZ DENETİM.A.Ş.
CCOLA,COCA-COLA İÇECEK A.Ş.,PwC BAĞIMSIZ DENETİM VE SERBEST MUHASEBECİ MALİ MÜŞAVİRLİK A.Ş
CONSE,CONSUS ENERJİ İŞLETMECİLİĞİ VE HİZMETLERİ A.Ş.,PKF ADAY BAĞIMSIZ DENETİM A.Ş.
COSMO,COSMOS YATIRIM HOLDİNG A.Ş.,BOĞAZİÇİ BAĞIMSIZ DENETİM VE YEMİNLİ MALİ MÜŞAVİRLİK A.Ş.
CRDFA,CREDITWEST FAKTORİNG A.Ş.,ARTI DEĞER ULUSLARARASI BAĞIMSIZ DENETİM VE YMM A.Ş.
CVKMD,CVK MADEN İŞLETMELERİ SANAYİ VE TİCARET A.Ş.,RAM BAĞIMSIZ DENETİM VE DANIŞMANLIK A.Ş.
CWENE,CW ENERJİ MÜHENDİSLİK TİCARET VE SANAYİ A.Ş.,YEDİTEPE BAĞIMSIZ DENETİM VE YEMİNLİ MALİ MÜŞAVİRLİK A.Ş.
CAGFA,ÇAĞDAŞ FAKTORİNG A.Ş.,DRT BAĞIMSIZ DENETİM VE SERBEST MUHASEBECİ MALİ MÜŞAVİRLİK A.Ş.
CLDNM,ÇALIK DENİM TEKSTİL SANAYİ VE TİCARET A.Ş.,GÜNEY BAĞIMSIZ DENETİM VE SERBEST MUHASEBECİ MALİ MÜŞAVİRLİK A.Ş.
CANTE,ÇAN2 TERMİK A.Ş.,AS BAĞIMSIZ DENETİM VE YEMİNLİ MALİ MÜŞAVİRLİK A.Ş.
CLEBI,ÇELEBİ HAVA SERVİSİ A.Ş.,DRT BAĞIMSIZ DENETİM VE SERBEST MUHASEBECİ MALİ MÜŞAVİRLİK A.Ş.
CELHA,ÇELİK HALAT VE TEL SANAYİİ A.Ş.,PwC BAĞIMSIZ DENETİM VE SERBEST MUHASEBECİ MALİ MÜŞAVİRLİK A.Ş
CEMAS,ÇEMAŞ DÖKÜM SANAYİ A.Ş.,BİRLEŞİK EKOL BAĞIMSIZ DENETİM A.Ş.
CEMTS,ÇEMTAŞ ÇELİK MAKİNA SANAYİ VE TİCARET A.Ş.,SUN BAĞIMSIZ DENETİM VE YEMİNLİ MALİ MÜŞAVİRLİK A.Ş.
